Country,Region,Year,Soil_Sealing,Growth_Rate,Rank
Albania,Balkans,2006,339.0,,33.0
Albania,Balkans,2009,343.0,1.179941002949847,33.0
Albania,Balkans,2012,344.0,0.291545189504383,33.0
Albania,Balkans,2015,346.0,0.5813953488372103,33.0
Albania,Balkans,2018,348.0,0.5780346820809301,33.0
Albania,Balkans,2021,357.0,2.586206896551735,33.0
Austria,Core EU,2006,2537.0,,15.0
Austria,Core EU,2009,2560.0,0.9065825778478587,15.0
Austria,Core EU,2012,2581.0,0.8203125000000089,15.0
Austria,Core EU,2015,2585.0,0.15497869043006318,15.0
Austria,Core EU,2018,2611.0,1.0058027079303589,15.0
Austria,Core EU,2021,2641.0,1.1489850631941856,15.0
Belgium,Core EU,2006,2773.0,,13.0
Belgium,Core EU,2009,2797.0,0.8654886404615869,13.0
Belgium,Core EU,2012,2815.0,0.6435466571326431,13.0
Belgium,Core EU,2015,2825.0,0.3552397868561208,13.0
Belgium,Core EU,2018,2847.0,0.7787610619468976,13.0
Belgium,Core EU,2021,2881.0,1.1942395504039416,13.0
Bosnia and Herzegovina,Balkans,2006,568.0,,29.0
Bosnia and Herzegovina,Balkans,2009,570.0,0.35211267605634866,29.0
Bosnia and Herzegovina,Balkans,2012,573.0,0.5263157894736858,29.0
Bosnia and Herzegovina,Balkans,2015,578.0,0.8726003490401313,29.0
Bosnia and Herzegovina,Balkans,2018,583.0,0.865051903114189,29.0
Bosnia and Herzegovina,Balkans,2021,592.0,1.5437392795883298,29.0
Bulgaria,Eastern EU,2006,1656.0,,21.0
Bulgaria,Eastern EU,2009,1676.0,1.2077294685990392,21.0
Bulgaria,Eastern EU,2012,1685.0,0.5369928400954738,21.0
Bulgaria,Eastern EU,2015,1694.0,0.5341246290801127,21.0
Bulgaria,Eastern EU,2018,1706.0,0.7083825265643551,21.0
Bulgaria,Eastern EU,2021,1732.0,1.5240328253223856,21.0
Croatia,Other Europe,2006,984.0,,26.0
Croatia,Other Europe,2009,989.0,0.5081300813008172,26.0
Croatia,Other Europe,2012,998.0,0.9100101112234471,26.0
Croatia,Other Europe,2015,1003.0,0.5010020040080221,26.0
Croatia,Other Europe,2018,1015.0,1.1964107676968982,26.0
Croatia,Other Europe,2021,1027.0,1.1822660098522064,26.0
Cyprus,Southern EU,2006,359.0,,32.0
Cyprus,Southern EU,2009,368.0,2.506963788300842,32.0
Cyprus,Southern EU,2012,376.0,2.1739130434782705,32.0
Cyprus,Southern EU,2015,388.0,3.1914893617021267,32.0
Cyprus,Southern EU,2018,399.0,2.8350515463917425,32.0
Cyprus,Southern EU,2021,407.0,2.0050125313283207,32.0
Czech Republic,Eastern EU,2006,2622.0,,14.0
Czech Republic,Eastern EU,2009,2645.0,0.8771929824561431,14.0
Czech Republic,Eastern EU,2012,2674.0,1.096408317580333,14.0
Czech Republic,Eastern EU,2015,2681.0,0.2617801047120505,14.0
Czech Republic,Eastern EU,2018,2700.0,0.7086907870197612,14.0
Czech Republic,Eastern EU,2021,2735.0,1.2962962962963065,14.0
Denmark,Core EU,2006,1889.0,,19.0
Denmark,Core EU,2009,1907.0,0.9528851244044567,19.0
Denmark,Core EU,2012,1919.0,0.629260618772931,19.0
Denmark,Core EU,2015,1923.0,0.20844189682125425,19.0
Denmark,Core EU,2018,1945.0,1.14404576183047,19.0
Denmark,Core EU,2021,1979.0,1.7480719794344513,19.0
Estonia,Eastern EU,2006,505.0,,31.0
Estonia,Eastern EU,2009,508.0,0.5940594059405946,31.0
Estonia,Eastern EU,2012,512.0,0.7874015748031482,31.0
Estonia,Eastern EU,2015,516.0,0.78125,31.0
Estonia,Eastern EU,2018,517.0,0.19379844961240345,31.0
Estonia,Eastern EU,2021,534.0,3.2882011605415817,31.0
European Union - 27 countries (from 2024),EU Aggregate,2006,107278.0,,1.0
European Union - 27 countries (from 2024),EU Aggregate,2009,108369.0,1.0169839109603007,1.0
European Union - 27 countries (from 2024),EU Aggregate,2012,109530.0,1.0713395897350653,1.0
European Union - 27 countries (from 2024),EU Aggregate,2015,110098.0,0.5185793846434805,1.0
European Union - 27 countries (from 2024),EU Aggregate,2018,110891.0,0.7202673981361984,1.0
European Union - 27 countries (from 2024),EU Aggregate,2021,112418.0,1.3770278922545565,1.0
Finland,Core EU,2006,2456.0,,17.0
Finland,Core EU,2009,2479.0,0.9364820846905486,17.0
Finland,Core EU,2012,2488.0,0.3630496167809527,17.0
Finland,Core EU,2015,2497.0,0.3617363344051494,17.0
Finland,Core EU,2018,2519.0,0.8810572687224738,17.0
Finland,Core EU,2021,2589.0,2.7788805081381485,17.0
France,Core EU,2006,19287.0,,3.0
France,Core EU,2009,19461.0,0.9021620780836903,3.0
France,Core EU,2012,19730.0,1.3822516828528864,3.0
France,Core EU,2015,19833.0,0.5220476431829768,3.0
France,Core EU,2018,19958.0,0.6302626934906463,3.0
France,Core EU,2021,20230.0,1.3628620102214661,3.0
Germany,Core EU,2006,19922.0,,2.0
Germany,Core EU,2009,20097.0,0.8784258608573348,2.0
Germany,Core EU,2012,20266.0,0.8409215305767104,2.0
Germany,Core EU,2015,20344.0,0.3848810816145187,2.0
Germany,Core EU,2018,20469.0,0.6144317734958715,2.0
Germany,Core EU,2021,20675.0,1.0063999218330233,2.0
Greece,Southern EU,2006,2360.0,,18.0
Greece,Southern EU,2009,2374.0,0.5932203389830581,18.0
Greece,Southern EU,2012,2388.0,0.5897219882055493,18.0
Greece,Southern EU,2015,2398.0,0.41876046901172526,18.0
Greece,Southern EU,2018,2417.0,0.7923269391159282,18.0
Greece,Southern EU,2021,2451.0,1.4067025237898267,18.0
Hungary,Eastern EU,2006,2487.0,,16.0
Hungary,Eastern EU,2009,2515.0,1.125854443104135,16.0
Hungary,Eastern EU,2012,2536.0,0.8349900596421378,16.0
Hungary,Eastern EU,2015,2555.0,0.7492113564668834,16.0
Hungary,Eastern EU,2018,2571.0,0.6262230919765077,16.0
Hungary,Eastern EU,2021,2610.0,1.516919486581103,16.0
Iceland,Non-EU Europe,2006,130.0,,37.0
Iceland,Non-EU Europe,2009,131.0,0.7692307692307665,37.0
Iceland,Non-EU Europe,2012,135.0,3.053435114503822,37.0
Iceland,Non-EU Europe,2015,136.0,0.7407407407407307,37.0
Iceland,Non-EU Europe,2018,138.0,1.4705882352941124,37.0
Iceland,Non-EU Europe,2021,139.0,0.7246376811594235,37.0
Ireland,Core EU,2006,1282.0,,24.0
Ireland,Core EU,2009,1293.0,0.8580343213728581,24.0
Ireland,Core EU,2012,1307.0,1.0827532869296164,24.0
Ireland,Core EU,2015,1309.0,0.15302218821728886,24.0
Ireland,Core EU,2018,1339.0,2.291825821237592,24.0
Ireland,Core EU,2021,1374.0,2.6138909634055185,24.0
Italy,Southern EU,2006,12730.0,,4.0
Italy,Southern EU,2009,12826.0,0.7541241162607903,4.0
Italy,Southern EU,2012,12938.0,0.8732262591610862,4.0
Italy,Southern EU,2015,12966.0,0.2164167568403208,4.0
Italy,Southern EU,2018,13037.0,0.5475859941385108,4.0
Italy,Southern EU,2021,13142.0,0.8054000153409513,4.0
Kosovo (under United Nations Security Council Resolution 1244/99),Balkans,2006,234.0,,35.0
Kosovo (under United Nations Security Council Resolution 1244/99),Balkans,2009,238.0,1.7094017094017033,35.0
Kosovo (under United Nations Security Council Resolution 1244/99),Balkans,2012,240.0,0.8403361344537785,35.0
Kosovo (under United Nations Security Council Resolution 1244/99),Balkans,2015,249.0,3.750000000000009,35.0
Kosovo (under United Nations Security Council Resolution 1244/99),Balkans,2018,254.0,2.008032128514059,35.0
Kosovo (under United Nations Security Council Resolution 1244/99),Balkans,2021,261.0,2.7559055118110187,35.0
Latvia,Eastern EU,2006,679.0,,28.0
Latvia,Eastern EU,2009,681.0,0.2945508100147265,28.0
Latvia,Eastern EU,2012,685.0,0.5873715124816492,28.0
Latvia,Eastern EU,2015,689.0,0.5839416058394109,28.0
Latvia,Eastern EU,2018,691.0,0.2902757619738683,28.0
Latvia,Eastern EU,2021,710.0,2.749638205499272,28.0
Liechtenstein,Small State,2006,10.0,,40.0
Liechtenstein,Small State,2009,10.0,0.0,41.0
Liechtenstein,Small State,2012,10.0,0.0,41.0
Liechtenstein,Small State,2015,10.0,0.0,41.0
Liechtenstein,Small State,2018,10.0,0.0,41.0
Liechtenstein,Small State,2021,10.0,0.0,41.0
